,Unnamed: 0,name,location,description,link,price,operation,rooms,bathrooms,construction (m2),terrain (m2),lat,lng,calle,numero,colonia,ciudad,CP,formatad
437,231,"Departamento en Venta, Col. Olivar de Los Padres","Olivar de los Padres, Alvaro Obregón","Aproveche excelente oportunidad, departamento en venta bien ubicado, areas comerciales, 3 lugares de estacionamiento, piso de madera, 3 recamaras, areas verdes, escuelas cerca. Mas informacion A los telefonos Ver datos & Ver datos, cel. 55 Ver datos.",/propiedades/departamento-en-venta-col.-olivar-de-los-padres-570975.html,"MN 4,100,000",venta,3.0,3.0,125.0,125.0,19.3392293,-99.21898379999999,,,Olivar de los Padres,Ciudad de México,01780,"Olivar de los Padres, 01780 Ciudad de México, CDMX, Mexico"
441,232,"Departamentos Sobre Viaducto, Magdalena Mixiuhca","Magdalena Mixiuhca, Venustiano Carranza","Increíbles departamentos con amplios espacios adaptados a las necesidades de la actualidad a tan sólo 10 minutos del Centro de la Ciudad de México. 10 Departamentos totales, sólo 5 disponible desde 50 a 80 m2. Todos cuentan con 2 recámaras con clóset, 1 baño completo con cancelería, cocina integral, sala/comedor, balcón, bodega, un lugar de estacionamiento, lobby, roof garden con asador, seguridad 24/7. Ideal para vivirlos o como Inversión. Nos adecuamos a tu forma de pago aceptando todo tipo de créditos. Te llevamos de la mano en todo el proceso!",/propiedades/departamentos-sobre-viaducto-magdalena-mixiuhca-58594847.html,"MN 2,808,655",venta,2.0,1.0,79.0,79.0,19.4092141,-99.1165633,,,Magdalena Mixihuca,Ciudad de México,,"Magdalena Mixihuca, Ciudad de México, CDMX, Mexico"
442,233,Vendo Terreno Fuentes del Pedregal.,"Fuente de Los Molinos 63, Fuentes del Pedregal, 14140 Ciudad de México, CDMX, México, Fuentes del Pedregal, Tlalpan","Se vende excelente terreno en una zona comercial en fuentes del pedregal, de 740M2, con los siguientes linderos: norte 46M2, oriente 15M2, poniente (frente) 16M2, con uso de suelo H3/40 para 4 viviendas permitidas. ¡ven Y conócelo!",/propiedades/vendo-terreno-fuentes-del-pedregal.-56255903.html,"MN 15,500,000",venta,0.0,0.0,740.0,740.0,19.3093484,-99.22281869999999,Fuente de Los Molinos,63,Fuentes del Pedregal,Ciudad de México,14140,"Fuente de Los Molinos 63, Fuentes del Pedregal, Tlalpan, 14140 Ciudad de México, CDMX, Mexico"
471,235,Departamento en Venta Colonia Letran Valle/ Miguel Laurent,"Miguel Laurent 1712, LetrAn Valle, Benito Juárez",Departamento en Venta 65 m2. *Dos habitaciones. *Un baño completo. *Amplia estancia. *Cocina Integral. *Quinto piso. *Excelente ubicación.,/propiedades/departamento-en-venta-colonia-letran-valle-miguel-57793029.html,"MN 1,580,000",venta,2.0,1.0,65.0,65.0,19.3730981,-99.14962709999999,Miguel Laurent,1712,Letran Valle,Ciudad de México,03650,"Miguel Laurent 1712, Letran Valle, Benito Juárez, 03650 Ciudad de México, CDMX, Mexico"
472,236,Departamentos de Lujo Para Estrenar - Narvarte,"Narvarte, Benito Juárez","Excelente Proyecto Arquitectónico en una zona con excelente ubicación. Gran Oportunidad! Departamentos en Pre-Venta con superficies de 126 m2 y 125 m2, el Garden House con 145 m2 mas 66 m2 de terrazas. El edificio es muy exclusivo con solo 7 departamentos (Un Garden House, 4 departamentos intermedios y 2 Penthouses con roof garden privado). Todos con buenos y cómodos espacios, acabados de lujo! Cuenta con Roof Garden de uso común. Se entregan totalmente terminados, con acabados de excelente calidad. Los departamentos cuentan con: -Sala. -Comedor. -Balcón. -Cocina integral. -2 recamaras (con opción a una 3a) -Vestidor en la recamara Principal. -2 baños. -Family Room (area de tv) -Área de lavado. -2 lugares de estacionamiento. Si eres de los primeros en comprar te incluye una bodega sin costo, aprovecha! . Comunícate con nosotros para mas información! Los precios de venta pueden cambiar sin previo. aviso. Empresa Inmobiliaria con más de 30 años de experiencia enfocada principalmente en el poniente de la Ciudad de México.",/propiedades/departamentos-de-lujo-para-estrenar-narvarte-57414964.html,"MN 6,040,000",venta,2.0,2.0,125.0,125.0,19.3923907,-99.1580693,,,Narvarte Poniente,Ciudad de México,,"Narvarte Poniente, Ciudad de México, CDMX, Mexico"
484,237,"Green House Vende Casa Seminueva en Pedregal de San Francisco, Coyoacàn","Pedregal de San Francisco, Coyoacán","Green house ofrece en venta hermosa residencia “seminueva con terminados de lujo “, ubicada en el fracc. Pedregal de san francisco, coyoacÀN cp. Ver datos, cdmx. Precio de venta $ 24, 900, 000 pesos, para conocedores. Características generales: proyecto de solo 2 niveles. 540 M2 de terreno plano (aproximadamente) 550 M2 de construcciÒN (aproximadamente) 180 M2 de jardín trasero (aproximadamente) 18 M2 frente X 30 M2 fondo. edad 4 años, seminueva. lista para disfrutar. planta baja: estacionamiento para 4 autos grandes, bodega Y medio baño de servicio. hall de entrada. medio baño de visitas. salÒN de juegos. amplia sala con chimenea A doble altura con salida al jardín. gran cocina integral con isla, cubierta de granito Y comedor con salida al jardín. estudio también con salida al jardín. primer nivel: sala de televisión. 4 amplias recámaras con vestidor Y baño completo, la principal con doble lavabo Y terraza. cuarto de servicio con baño completo, Àrea de lavado Y tendido. terminados de lujo; mármol, cantera, cedro, cristal templado, granito ventanerÌA de aluminio con doble cristal Y mosquiteros, puertas de diseño con doble cristal, maderas finas en closets, circuito cerrado, cerca electrificada. *ubicada en una de las mejores calles del fraccionamiento* previa cita: mínimo con 24 horas de antelación, proporcionar teléfonos fijos, nombres completos E identificación oficial *indispensable* visite nuestro anuncio de privacidad. mx/. mx/aviso-de-privacidad. *esta exclusiva es solo para clientes directos* llamar: Ver datos / Ver datos / Ver datos / Ver datos. www. greenhouse. com. mx socios ampi 0944-9 Ver datos. disponibilidad Y precio sujetos A últimos cambios",/propiedades/green-house-vende-casa-seminueva-en-pedregal-de-san-56735861.html,"MN 24,900,000",venta,4.0,4.0,550.0,540.0,19.3388046,-99.16914129999999,,,Pedregal de San Francisco,Ciudad de México,,"Pedregal de San Francisco, Ciudad de México, CDMX, Mexico"
488,238,Venta Departamento (Exterior) Tipo Loft en Col. Ciudad de Los Deportes,"Av. San Antonio no.0, Ciudad de los Deportes, Benito Juárez","Venta de Departamento tipo loft (2 niveles) Exterior. Balcón. Parque a un costado. Precio: $4, 300, 000 M. N. 106 m2. 1 recámara (generosa en espacio) 1 baño completo. estancia-comedor, muy buen tamaño (con balcón) cocina integral abierta. área de servicio. bodega (en azotea) 1 cajón de estacionamiento. Patio Central. Seguridad 24 hrs. Parque a un lado. Vialidades como: Río becerra. 3 minutos del Estadio Azul",/propiedades/venta-departamento-exterior-tipo-loft-en-col.-ciudad-58450172.html,"MN 4,300,000",venta,1.0,1.0,106.0,106.0,19.3849736,-99.1896371,Avenida San Antonio,,,Ciudad de México,,"Av. San Antonio, Ciudad de México, CDMX, Mexico"
496,240,Lazaro Cardenas 819,"eje central lazaro cardenas 819 , Portales, Benito Juárez","Estilo, Tranquilidad y Privacidad en el corazón de la colonia Portales Excelentes vías de acceso y salida, el ambiente de los parques cercanos con su aire fresco que ofrecen las decenas de árboles que enmarcan su entorno. Lazaro cardenas 819, Construido con materiales durables y aplicación de tecnologías estructurales para la seguridad del edificio. Respondiendo a las demandas actuales del mercado, contando con un diseño atractivo y una distribución inmejorable. Cuenta con elevador y áreas comunes, y roof garden con asador y seguridad Privada las 24 horas. Los departamentos constan de 2 recámaras, 2 baños, sala, comedor, cocina (Equipada), Family Room, área de lavado, 1 ó 2 cajones de estacionamiento. *Precios sujetos a cambio sin previo aviso, consulta a tu asesor.",/propiedades/lazaro-cardenas-819-55183975.html,"MN 2,845,000",venta,2.0,,90.0,,19.3633589,-99.1509178,Eje Central Lázaro Cárdenas,819,Portales Norte,Ciudad de México,03300,"Eje Central Lázaro Cárdenas 819, Portales Nte, Benito Juárez, 03300 Ciudad de México, CDMX, Mexico"
497,241,Taman Condesa,"Alfonso Reyes 53, Hipódromo Condesa, Cuauhtémoc","Arquitectura de vanguardia que combina modernidad y estilo de vida en La Condesa. Su excelente ubicación te permite conectarte con vialidades importantes como el Circuito Interior. Agradables vistas hacia Reforma y La Condesa y disfrutarás de sus a sus áreas verdes, áreas comunes y amenidades como Lobby, Jardín central, Ludoteca, Carril de nado, Gimnasio equipado y Sala lounge. Departamentos de dos y tres recámaras desde 65 m2 hasta 163 m2 con amplios espacios con terrazas y balcones, finos acabados e interesante distribución para un mayor confort.",/propiedades/taman-condesa-55473872.html,"MN 5,250,000",venta,2.5,,95.0,120.0,19.4103049,-99.18025329999999,Alfonso Reyes,53,Hipódromo Condesa,Ciudad de México,06170,"Alfonso Reyes 53, Hipódromo Condesa, Cuauhtémoc, 06170 Ciudad de México, CDMX, Mexico"
498,242,Avante Residencial - Qc,"Calzada de Tlalpan 2450, Col. Avante, Coyoacán, CDMX, Avante, Coyoacán","Avante residencial - vive al sur. Los departamentos de Avante Residencial cuentan con áreas verdes, lobby, caseta de vigilancia y elevadores. Se ubica sobre Calzada de Tlalpan a sólo 5 minutos de la estación Tren Ligero La Virgen. Cuenta con diversos medios de transporte al alcance, cercano a Centros Comerciales, supers, cercano a zona de Hospitales, Universidades y escuelas reconocidas.",/propiedades/avante-residencial-qc-54290114.html,"MN 3,380,787",venta,3.0,,90.0,,19.331446,-99.1401571,Calzada de Tlalpan,2450,Avante,Ciudad de México,04460,"Calz. de Tlalpan 2450, Avante, Coyoacán, 04460 Ciudad de México, CDMX, Mexico"
499,243,Casa Roma,"Bajio 315, Roma, Cuauhtémoc","Casa Roma 315 es un atractivo proyecto ubicado en una de las zonas que destaca por su rica herencia cultural, brinda un aspecto bohemio lleno de historias y leyendas con los mejores escenarios para vivir. Encontrarás exclusivos departamentos con detalles en cada lugar, crearán contrastes únicos y elegantes que volverán a este residencial tu lugar ideal para vivir.",/propiedades/casa-roma-54167367.html,"MN 6,580,000",venta,2.5,,166.5,,19.4029252,-99.16804760000001,Calle Bajío,315,Roma Sur,Ciudad de México,06010,"Calle Bajío 315, Roma Sur, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico"
500,244,Casa Azul,"Manuel Dublan 46, Tacubaya, Miguel Hidalgo","Ubicado en una de las principales calles de la Colonia Tacubaya, a unos minutos de la Colonia San Miguel Chapultepec y Escandón. Sólo 10 min en bicicleta de la Torre Virreyes, Ferrocarril de Cuernavaca, Reforma (Fuentede Petróleos) y Bosque de Chapultepec y Parque Lira.",/propiedades/casa-azul-57268993.html,"MN 2,680,000",venta,1.5,,109.0,,19.4017173,-99.1909544,Manuel Dublan,46,Tacubaya,Ciudad de México,11870,"Manuel Dublan 46, Tacubaya, Miguel Hidalgo, 11870 Ciudad de México, CDMX, Mexico"
501,245,Departamento en Venta - Alpes Residencial Ll - 402,"Departamento en Venta - Alpes Residencial ll - 402, Los Alpes, Alvaro Obregón","Alpes Residencial ii es un desarrollo que cuenta con mas de 200 departamentos distribuidos en 10 niveles. Cuenta con áreas comunes y amenidades como business center, gimnasio equipado, sala de tv, multifitness, center- yoga, whisky bar, piscina, salón, ludoteca, jardín de juegos infantiles, salón de eventos, estacionamiento para visitantes, balcones panorámicos, estacionamiento, terraza común y bodegas. Este departamento cuenta con 1 recamara, 1 baño y un cajón de estacionamiento. Conoce todo nuestro inventario. Navega y programa tu cita en: casamarket. Mx",/propiedades/departamento-en-venta-alpes-residencial-ll-402-58130143.html,"MN 2,566,114",venta,1.0,1.0,,47.0,19.3606836,-99.1924411,Boulevard Adolfo López Mateos,1951,Los Alpes,Ciudad de México,01010,"Blvd. Adolfo López Mateos 1951, Los Alpes, Álvaro Obregón, 01010 Ciudad de México, CDMX, Mexico"
502,246,Penthouse con Roof Garden Privado en Insurgentes Cuicuilco,"Crepúsculo, Insurgentes Cuicuilco, Coyoacán","Estrene lujoso Penthouse, techos muy altos de 3 metros. 158m + 80 de roof garden= 238m. 2 recámaras, la principal con vestidor y baño, sala, comedor, cocina abierta, baño completo, área de lavado, bodega y 2 estacionamientos. Roof Garden privado con entrada independiente cuenta con cocina y baño, terraza. Acabados de Super lujo. Pisos en Madera sólida de Roble, en baños mármol Griego, Cocina Italiana con cubierta de Cuarzo brasileño, equipos de cocina Alemanes, vestidor y puertas Italianas. El condominio tiene cct, vigilancia las 24 horas, elevador. 12 departamentos en total",/propiedades/penthouse-con-roof-garden-privado-en-insurgentes-56215515.html,"MN 11,000,000",venta,2.0,2.0,158.0,158.0,19.3047234,-99.1831491,Crepúsculo,,Insurgentes Cuicuilco,Ciudad de México,04530,"Crepúsculo, Insurgentes Cuicuilco, 04530 Ciudad de México, CDMX, Mexico"
503,247,Venta de Departamento con Roof Garden Compartido a Unos Pasos del Estadio Azul,"Illinois 61. Colonia Ciudad de los deportes, Benito Juárez, Napoles, Benito Juárez","Illinois 61 ofrece departamento con roof garden compartido. Hermoso departamento en venta en Benito Juárez, muy cerca de la Plaza de Toros, del Estadio Azul. Cuenta con dos recámaras, 2 baños, estacionamiento fijo, roof garden común, vigilancia 24h. Excelente calidad constructiva; Se entrega equipado con cancelería, mármol en estancia y barra de granito en la cocina.",/propiedades/venta-de-departamento-con-roof-garden-compartido-a-54654959.html,"MN 3,800,000",venta,2.0,2.0,72.0,72.0,19.3847378,-99.1789756,Illinois,61,Ciudad de los Deportes,De los Deportes,03710,"Illinois 61, Cd. de los Deportes, Benito Juárez, 03710 De los Deportes, CDMX, Mexico"
504,248,Departamento Nuevo Venta Hipódromo Condesa,"Insurgentes 380, Hipódromo Condesa, Cuauhtémoc","Precioso departamento en el piso 9 con una hermosa vista en un edificio con un diseño arquitectónico inteligente para aprovechar al máximo cada espacio interior pensando en tu comodidad con una estratégica ubicación. (a tan sólo una cuadra del Parqué México). Departamento consta de sala comedor con ventana muy amplia que le da mucha luz y una agradable vista, cocina abierta, dos recámaras y dos baños. Mármol en baños, Pisos de mármol en cocina, Cocina terminada con chapa de nogal y cubierta de granito, Piso en madera de ingeniería en sala comedor y recamaras, Carpintería terminada en chapa de nogal. Además, el desarrollo cuenta con gimnasio, carril de nado, roof garden común, vapor y salón de usos múltiples. Con dos cajones de estacionamiento lineales e independientes, pequeña bodega.",/propiedades/departamento-nuevo-venta-hipodromo-condesa-57033142.html,"MN 5,850,000",venta,2.0,2.0,93.0,93.0,19.4099978,-99.16695740000002,Avenida Insurgentes Sur,380,Hipódromo,Ciudad de México,06760,"Av. Insurgentes Sur 380, Hipódromo, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico"
509,250,Vendo Terreno Contadero,"Prolongacion 16 de septiembre 1, Contadero, Cuajimalpa de Morelos","Estudio. inmobiliario ofrece terreno en venta en contadero, en fraccionamiento exclusivo de 11 lotes. Punta Domadilla Es un fraccionamiento boscoso, de terrenos planos a. menos de cinco minutos el Hospital abc de Santa Fe, estudio. inmobiliario. pone a su disposición los dos últimos lotes disponibles, el nivel de. propiedades construidas en el fraccionamiento son de excelencia. Proyecto del despacho Artigas y Quintana. Calles adoquinadas, instalaciones ocultas, cisternas de mas de 100, 000 litros, transformador. de luz propio del fraccionamiento. Recolección de aguas tratadas, etc. Privacidad, silencio, exclusividad real. Norte 40. 25m. poniente 40 m2. sur 30. 19 m2. oriente 27 m2. estudio. inmobiliario. te ayudamos a comprar",/propiedades/vendo-terreno-contadero-57088443.html,"MN 14,000,000",venta,0.0,0.0,,954.0,19.3470646,-99.2983362,Prolongación 16 de Septiembre,1,Contadero,Ciudad de México,05230,"Prol. 16 de Septiembre 1, Contadero, Cuajimalpa de Morelos, 05230 Ciudad de México, CDMX, Mexico"
510,251,Impresionante Departamento en Venta en Plaza Carso,"Lago Zurich 219, Ampliación Granada, Miguel Hidalgo",Espectacular departamento en venta con acabados de lujo. 121 M2: 2 recamaras cada una con baño completo baño de la recamara principal con tina. Piso de madera. Luces indirectas. Espacios muy amplios. Techos de 3 metros que le dan mucha amplitud. Linda cocina abierta. Area de lavado. 2 cajones de estacionamiento. Vigilancia 24 horas. Estacionamiento para visitas. Acceso directo al centro comercial.,/propiedades/impresionante-departamento-en-venta-en-plaza-carso-56570912.html,"MN 10,500,000",venta,2.0,2.0,121.0,121.0,19.4422755,-99.2031258,Calle Lago Zurich,219,Ampliación Granada,Ciudad de México,11529,"Calle Lago Zurich 219, Amp Granada, Miguel Hidalgo, 11529 Ciudad de México, CDMX, Mexico"
513,252,"Estrena PH, Cerca de C. U. 116 m Habitables + 116 m Roof Garden Privado = 232 m","Cerrada de José Rocabruna, Copilco El Alto, Coyoacán","Con ubicación inmejorable, muy cerca del metro Universidad. Desarrollo Nuevo de sólo 22 departamentos. Pent House Interior. 116mts. Área Habitable+ 116 mts. Roof Garden Privado. = 232mts. Área total. Pent House que consta de: Sala Comedor, Cocina equipada. Recámara Principal con vestidor y baño integrados. Segunda recámara con clóset. Baño completo adicional. Área de lavado en el departamento. 1 Estacionamiento independiente, no se estorba con vecinos. Roof Garden Privado con entrada por departamento y también entrada independiente. El Roof Garden está equipado con palapa, barra y medio baño. El edificio no cuenta con elevador, el departamento está en un tercer nivel. Entrega Inmediata!! Precios sujetos a cambios sin previo aviso, sujeto a disponibilidad",/propiedades/estrena-ph-cerca-de-c.-u.-116-m-habitables-116-m-57175890.html,"MN 3,837,000",venta,2.0,2.0,116.0,116.0,19.3315749,-99.1755601,José Rocabruna,,Copilco el Alto,Ciudad de México,04360,"José Rocabruna, Copilco el Alto, 04360 Ciudad de México, CDMX, Mexico"
514,253,"Departamento de 3 Recámaras, (Citta) Seguridad 24/7, Amenidades y Jardines","Avenida de los Tanques, Olivar de los Padres, Alvaro Obregón","*oportunidad de invertir de manera segura tus ahorros en citta San Gerónimo con un gran descuento. (Áreas verdes, Amenidades, Seguridad 24/7) moderno Y exclusivo departamento con un importante descuento temporal de $700, 000 ya incluido en el precio. este precio promocional aplica solo en operaciones de contado O con crédito bancario. ____________________________________________________. D E P A R T A M E N T O: • Espectacular vista panorámica, acabados de primera calidad, excelente orientación, magnífica distribución, 4 balcones con vista arbolada. • Estancia amplia con terraza (16 m2) y vista panorámica, muy iluminada y ventilada. • Cocina equipada abierta, con barra de granito, estufa de 6 quemadores y cuarto para despensa. • 3 recámaras exteriores separadas de las áreas públicas. La principal con amplio baño con doble tarja, balcón y vestidor. Las otras 2 con balcón con vista arbolada, baño y clóset de buen tamaño. • Amplio ""Family Room"" que puede ser utilizado como cuarto de juegos, estudio o biblioteca. • Medio baño de visitas. • Área de lavado y tendido integrados. • Cuarto de Servicio con baño. • 2 estacionamientos techados independientes. •Magníficas amenidades. • Seguridad 24/7 con acceso controlado (entrada para visitas y residentes). • Elevadores, gas estacionario, cisterna, interphone, etc. • Por su Excelente Ubicación, se encuentra a unos cuantos minutos de la Zona Comercial y de los corporativos de Santa Fe, muy cerca de los mejores restaurantes, supermercados, escuelas, parques, cines, teatros, bancos, iglesias, gasolineras y muchos servicios más. • colinda con la supervía poniente y está a 5 minutos del Periférico. • Entrega inmediata. __________________________________________________. A M E N I D A D E S: • amplios jardines. • gym. • alberca techada. • jacuzzi. • spa. • vestidores. • vapor. •snack-lounge. • bar. • salón de eventos. •salón de jóvenes. •salón de niños. • terrazas. • andadores. • área de juegos infantiles. • pista para correr. • asadores. • estacionamiento de visitask",/propiedades/departamento-de-3-recamaras-citta-seguridad-24-7-58443613.html,"MN 7,997,000",venta,3.0,4.0,203.0,203.0,19.3321488,-99.24441999999999,Avenida de los Tanques,,Torres de Potrero,Ciudad de México,01840,"Av. de los Tanques, Torres de Potrero, 01840 Ciudad de México, CDMX, Mexico"
515,254,Casa en Venta - Gra. Fco. Murguía - Escandón - m. Hidalgo - Cdmx,"General Francisco Murguía 136, Escandón, Miguel Hidalgo","140 M2. Terreno - 230 M2. Construcción - edad: 50 años - remodelada e con instalación eléctrica e hidráulica nuevas. Estancia para sala y comedor, medio baño para visitas, cocina equipada, incluye horno, estufa y microondas, patio de servicio con baño completo y lavadero. Estacionamiento para tres autos. Planta alta con: tres recámaras, dos baños completos. Azotea. - dos cuartos como para bodega, tinacos y lavadero. Tanque de gas lp",/propiedades/casa-en-venta-gra.-fco.-murguia-escandon-m.-57581446.html,"MN 8,600,000",venta,3.0,3.0,230.0,140.0,19.4017855,-99.1817298,Calle General Francisco Murguía,136,Escandón I Sección,Ciudad de México,11800,"Calle Gral. Francisco Murguía 136, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, Mexico"
516,255,"Venta de Garden de 2 Recámaras con Terraza, Col. Alamos","Alamos, Benito Juárez","Departamento de 113M2 + 25M2Terraza, cuenta con 2 Recámaras, 2 baños completos, medio baño de visita, sala y comedor, cocina integral abierta, área de lavado, es de dos niveles, bodega, cuenta con 1 Lugar de estacionamiento.",/propiedades/venta-de-garden-de-2-recamaras-con-terraza-col.-58510721.html,"MN 4,880,150",venta,2.0,2.0,113.0,113.0,19.399121,-99.1414643,,,Álamos,Ciudad de México,,"Álamos, Ciudad de México, CDMX, Mexico"
520,256,Departamento en Venta con Amenidades en Colonia Roma.,"Querétaro 240, Roma, Roma, Cuauhtémoc","Dos habitaciones, dos baños y amenidades en el corazón de la zona. Queretaro 240 te ofrece la mejor ubicación a 3 cuadras del parque México, teniendo lo mejor de la Roma y la Condesa. Este departamento cuenta con 2 habitaciones, la principal con walk in closet y baño completo. Cocina integral abierta con barra, se entrega con lava trastes y microondas. Amplia sala y comedor. Cuarto de lavado independiente con ventilación natural. Roof Garden Común. Gimnasio. Alberca. Área de Yoga. Vigilancia 24 hrs. Cámaras de vigilancia. Elevador. Estacionamiento. Grill. Te asesoramos sin costo con tu financiamiento. Listo para estrenar",/propiedades/departamento-en-venta-con-amenidades-en-colonia-roma.-53932770.html,"MN 5,100,000",venta,2.0,2.0,89.0,89.0,19.413676,-99.1654703,Calle Querétaro,240,Roma Norte,Ciudad de México,06700,"Calle Querétaro 240, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico"
521,257,"Av Centenario, Merced Gómez, Bodega en Venta!","Merced Gómez, Alvaro Obregón","Oportunidad de inversión patrimonial con inquilino triple aaa. son 3 bodegas comunicadas de 400. 00 M2 C/U. Cuenta con área de oficinas de 400. 00 M2, en 2 niveles: planta baja recepción Y 5 oficinas, en planta alta 3 caballerizas Y 5 oficinas, 7 baños en total Y tapancos. Estacionamiento para 25 autos aprox. , entrada para trailer, altura de 8. 00-10. 00 mts. aprox. , con muy buen espacio para maniobras. La bodega tiene 30 años de antigÜedad. techo de lámina, sistema eléctrico trifásico, conmutador S/línea telefónica Y caseta de vigilancia. Ubicada en una excelente zona industrial, A 5 minutos de barranca del muerto Y A 10 minutos de periférico sur. Uso de suelo hm/5/30 (habitacional mixto, 5 niveles máximo de construcción Y 30% de área libre) precio + I. V. A. Sobre las construcciones",/propiedades/av-centenario-merced-gomez-bodega-en-venta!-57775835.html,"MN 25,000,000",venta,0.0,,1200.0,1120.0,19.3663017,-99.1933664,,,Merced Gómez,Ciudad de México,,"Merced Gómez, Ciudad de México, CDMX, Mexico"
522,258,Casa en Venta Chimalistac,"Casa EN Venta Chimalistac, Chimalistac, Alvaro Obregón","Disfrute casa en la mejor zona de Chimalistac, enorme frente, suite independiente con baño, aparte 4 recámaras, gran salón de usos múltiples.",/propiedades/casa-en-venta-chimalistac-56028058.html,"MN 16,500,000",venta,4.0,4.0,513.0,330.0,19.3445588,-99.1864442,,,Chimalistac,Ciudad de México,,"Chimalistac, Ciudad de México, CDMX, Mexico"
523,259,Divino Departamento en La Col. del Valle,"Del Valle, Benito Juárez","Hermoso departamento en el corazon de la col. Del valle. Imposible describirte lo acogedor Y hermoso que es, todos los espacios muy bien diseñados para proporcionarte una sensacion de paz Y comodidad increible, la ubicacion es inmejorable tendras todos lo que necesites A tu alcance, terraza privada muy amplia, el condominio no cuenta con estacionamiento pero A unos pasos, justo enfrente, hay un estacionamiento publico muy amplio Y seguro. No vas A encontrar algo semejante, agenda tu cita ya!",/propiedades/divino-departamento-en-la-col.-del-valle-58241827.html,"MN 4,350,000",venta,3.0,2.0,140.0,140.0,19.3817299,-99.16498910000001,,,,Mexico City,,"Del Valle, Mexico City, CDMX, Mexico"
538,260,Venta y Preventa Fontana Santa Fe: Suites & Lofts,"AV. DIVISIÓN DEL NORTE Nº. 40, Locaxco, Cuajimalpa de Morelos","Basados en el concepto vanguardista y exitoso de nuestros desarrollos recinto santa fe, resguardo santa fe, finca santa fe y quinta santa fe. El desarrollo “fontana santa fe: Suites & Lofts” cuenta con dos etapas. La primera etapa ya terminada de 48 departamentos exclusivos; con 1 a 2 recámaras, 1 a 2 baños. Cuentan con terraza, balcones o roof garden privado. Segunda etapa en preventa, a entregar en diciembre del 2020, con 80 departamentos. ""fontana santa fe: Suites & Lofts"" se localiza en la zona de mayor plusvalía del Distrito Federal: - Tan sólo a 3 minutos del Desierto de los Leones. - Muy cerca de los mejores centros comerciales y universidades de la ciudad. - A pocos minutos de la zona corporativa de Santa Fe. Ofrecemos un estilo de vida diferente, acorde a las exigencias del ejecutivo moderno y de los nuevos status sociales como: jóvenes independientes, catedráticos y gente cosmopolita. Para estos nuevos segmentos de la población con alto poder adquisitivo, que se preocupan por el medio ambiente y tienen necesidades muy particulares, está diseñado “fontana santa fe: Suites & Lofts”. Somos una de las empresas que llevan más tiempo en el mercado de la zona y la que más desarrollos ha hecho desde 1989. Buscamos satisfacer las expectativas de un nuevo segmento de la población que va en aumento y que tiene tanta importancia para nuestro futuro como sociedad. Amenidades: Salón de usos múltiples. Ludoteca. Business Center. Área para Gimnasio. Roof Garden general con asadores. Elevadores. Caseta de Vigilancia. Circuito cerrado de tv. Acabados Premium: Uso de materiales naturales en canteras y mármoles. Piso de madera de ingeniería. Uso de tecnología sustentable: Calentamiento de agua con paneles solares. Reciclado de agua pluvial. Iluminación por leds. Equipados con: Clósets de lujo. Cocinas de lujo. Lavasecadora. Refrigerador con ahorro de energía. Horno de microondas. Calefacción eléctrica. Triturador de basura. Persianas. Informes al: (55) Ver datos",/propiedades/venta-y-preventa-fontana-santa-fe:-suites-lofts-52205540.html,"MN 2,465,000",venta,1.5,,59.0,80.0,19.3550001,-99.2903248,Calle División del Norte,40,Locaxco,Ciudad de México,05330,"Calle División del Nte. 40, Locaxco, Cuajimalpa de Morelos, 05330 Ciudad de México, CDMX, Mexico"
539,261,Forma Reforma,"Londres 256, Juárez, Cuauhtémoc","Venta especial: contrata sin enganche Y con esquemas de pago flexibles. De envidiable arquitectura, diseño y ubicación Forma Reforma es un desarrollo de exclusivos departamentos con acabados de lujo en donde podrás disfrutar en cualquiera de ellos de una maravillosa vista desde su terraza. Tiene 11 niveles; 2 niveles de comercio y 9 de vivienda con 7 departamentos por planta. Forma Reforma te ofrece varios modelos de departamentos, todos con su propia terraza y opciones que van desde 51m2 hasta 100m2, con una o dos recámaras; algunos con su Roof Garden privado. Todos los departamentos se entregan con excelentes acabados como pisos de Porcelanato tipo Madera, carpintería y cocinas integrales con cubiertas de granito. Cuenta con: • Gimnasio. • Roof Garden común y privados. • Cajones de estacionamiento de autoservicio. • Espacios especiales para bicicletas y motos. • Bodegas privadas.",/propiedades/forma-reforma-55552990.html,"MN 5,023,000",venta,1.5,,75.5,,19.4224597,-99.1700944,Londres,256,Juárez,Juárez,06600,"Londres 256, Juárez, Cuauhtémoc, 06600 Juárez, CDMX, Mexico"
540,262,Canal de San Juan 2,"Tepalcates, Iztapalapa","Lobby, gimnasio al aire libre, balcón, escuelas cercanas, área de juegos infantiles, cámaras de seguridad, caseta de vigilancia. Excelentes acabados",/propiedades/canal-de-san-juan-2-57469880.html,"MN 1,526,225",venta,3.0,,67.0,97.5,19.3916358,-99.0557268,,,Tepalcates,Ciudad de México,09210,"Tepalcates, 09210 Ciudad de México, CDMX, Mexico"
