,Unnamed: 0,name,location,description,link,price,operation,rooms,bathrooms,construction (m2),terrain (m2),lat,lng,calle,numero,colonia,ciudad,CP,formatad
11,10,Hermosa Casa en Exclusivo Condominio,"Cóndor 260, Las Aguilas, Alvaro Obregón","Precioso condominio de solo 12 casas en la calle de Cóndor excelentemente conservado y con vigilancia 24/7 y circuito cerrado de tv. La casa tiene 2 estacionamientos techados y uno del lado del otro, atrás de ellos closets/bodegas, en la parte baja se encuentra un estudio, medio baño de visitas y un amplio cuarto de servicio con baño completo y lavandería, la sala comedor es muy amplia y súper iluminada, la cocina en excelentes condiciones y en la parte alta 2 recamaras ( la principal con vestidor y baño) y un estudio con posibilidad de convertirse en la 3a recámara, 2 baños completos. La casa está en excelentes condiciones, tiene piso de madera casi nuevo, los baños cuentan con mármol y canceles de cristal templado, verdaderamente en perfectas condiciones y lista para ser habitada de inmediato.",/propiedades/hermosa-casa-en-exclusivo-condominio-56807094.html,"MN 9,500,000",venta,3.0,3.0,202.0,274.0,19.3610534,-99.19852639999999,Condor,260,Águilas,Ciudad de México,01710,"Condor 260, Águilas, Álvaro Obregón, 01710 Ciudad de México, CDMX, Mexico"
12,11,Hermosos y Amplios Departamentos en Esquina Súper Ubicados!,"Watteau 17, Santa Maria Nonoalco, Benito Juárez","Desarrollo de tan solo 24 departamentos de entrega inmediata, todos cuentan con sala, comedor, cocina equipada, amplia área de lavado, 2 recamaras, 2 baños y 2 estacionamiento, los departamentos son muy bien distribuidos y por lo mismo tiene excelentes espacios, muy iluminados y con las mejores vías de comunicación periférico Sur/norte, Viaducto, Circuito Interior, Metro, Metrobus, la MegaComercial Mexicana 24 horas a tan solo una calle, el Parque Hundido a 400 mts. Además casi todos nuestros departamentos entran a jornada notarial y contará con vigilancia 24/7. Tenemos departamentos desde 77 y hasta 97 mts2.",/propiedades/hermosos-y-amplios-departamentos-en-esquina-super-57560899.html,"MN 3,975,000",venta,2.0,2.0,80.0,80.0,19.3817957,-99.1850814,Watteau,17,Nonoalco,Ciudad de México,03700,"Watteau 17, Nonoalco, Benito Juárez, 03700 Ciudad de México, CDMX, Mexico"
13,12,Departamento Exterior con Vista a Las Canchas del Club America!,"El Parque de Coyoacán, Coyoacán","Departamento exterior con balcón a la sala de casi 100 mts2 muy iluminado y tranquilo en edificio de solo 6 departamentos Y sin vecinos arriba de ti! Cuenta con 3 recamaras, 2 baños, amplia cocina abierta, 2 amplios estacionamientos y bodega. Se encuentra ubicado exactamente frente a la puerta principal de las canchas de entrenamiento del club America. Excelentes vías de comunicación, servicios y varias escuelas alrededor.",/propiedades/departamento-exterior-con-vista-a-las-canchas-del-club-57717456.html,"MN 3,090,000",venta,3.0,2.0,97.0,110.0,19.3109098,-99.13074209999999,,,Parque Coyoacán,Ciudad de México,,"Coapa, Parque Coyoacán, Ciudad de México, CDMX, Mexico"
16,14,Hermoso y Gran Departamento con Roof Garden Privado con Acceso Directo!,"Paz Montes de Oca 96, General Pedro Maria Anaya, Benito Juárez","Enorme departamento de 117 mts + roof garden de 62 mts con acceso directo al mismo Y con cuarto de servicio con baño propio, muy cerca de Coyoacan, Centro Coyoacán, Plaza Universidad y con excelentes vías de comunicación en una calle muy tranquila, el departamento cuenta en 1er nivel con amplia sala/comedor, cocina equipada y un área propia para acondicionar un buen cuarto de despensa en el nivel 2 cuenta con recámara principal con baño y vestidor, 1 recámara con amplio closet y 1 baño completo más y en el roof garden además de este se encuentra un cuarto de servicio con baño además tiene 2 estacionamientos, vigilancia 24/7 y circuito cerrado de tv.",/propiedades/hermoso-y-gran-departamento-con-roof-garden-privado-57713489.html,"MN 4,990,000",venta,2.0,2.0,117.0,200.0,19.3604048,-99.1575977,Paz Montes de Oca,96,General Anaya,Ciudad de México,03340,"Paz Montes de Oca 96, Gral Anaya, Benito Juárez, 03340 Ciudad de México, CDMX, Mexico"
17,15,Departamentos Exterior con Roof Garden y Acceso Directo a Precios de Remate!,"Saratoga 605 , Portales, Benito Juárez","Desarrollo de solo 11 departamentos nuevos con excelente orientación y muy iluminados, roof garden privado de 41 mt2, altura de 2: 75 mts que los hacen visualmente muy amplios, con balcones exteriores y balcon terraza interior que en total suman 10. 74 mts2, cocina con cubierta de granito y canceles de baño de cristal templado, cuenta con 2 recamaras 2 baños y 2 amplios estacionamientos y bodega de 4 mts2, El desarrollo cuenta con Roof Garden comun, caseta de vigilancia, amplia rampa de acceso vehicular, sensores de movimiento y extintores. El total de metros del departamento",/propiedades/departamentos-exterior-con-roof-garden-y-acceso-58226372.html,"MN 4,100,000",venta,2.0,2.0,82.0,150.0,19.3665253,-99.1512796,Saratoga,605,Portales Norte,Ciudad de México,03300,"Saratoga 605, Portales Nte, Benito Juárez, 03300 Ciudad de México, CDMX, Mexico"
18,16,"Calle Musset, Garden House en Venta o Renta (Js)","Calle Musset, Garden House en Venta o Renta (js), Polanco I Sección, Miguel Hidalgo","En exclusiva! Col. Polanco, Musset, Garden Houses en venta o renta (js) 186m + 34m de terraza, 2 recamaras (principal con vestidor y baño), 2 baños completos, cocina piacere de granito, área de guardado, cuarto de servicio con baño, bodega, + mantenimiento $5, 600 mn. , 3 estacionamientos, iluminación inteligente, pisos de madera maciza, sistema de audio, calefacción hidrónica, solo 12 deptos, seguridad, edificio aaa, elevador al piso. codigo de referencia 582, Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se debe de verificar con la inmobiliaria. La publicación de la presente información no representa una oferta publica por lo que toda transacción debe de hacerse de forma personal de acuerdo a las practicas comerciales de la inmobiliaria y para poder ser valida requiere de la autorización expresa de los propietarios de los inmuebles.",/propiedades/calle-musset-garden-house-en-venta-o-renta-js-58489203.html,"USD 1,100,000",venta,2.0,2.0,186.0,186.0,19.4376344,-99.20998209999999,,,Polanco I Sección,Ciudad de México,11510,"Polanco I Secc, 11510 Ciudad de México, CDMX, Mexico"
19,17,"Jaime Balmes, Departamento en Venta, Polanco (Mc)","Jaime Balmes, Departamento en Venta, Polanco (mc), Polanco, Miguel Hidalgo","Jaime Balmes, departamento en venta, Polanco (mc) 298m, amplia estancia sala comedor y balcón, cocina recién remodelada, antecomedor, family, 3 recámaras, 3. 5 baños, área de lavado y servicio, 3 estacionamientos, mant. $3, 200mn. Amplio departamento con luz natural en todos los espacios y temperatura agradable. Buena ubicación, cerca de centros comerciales, restaurantes y bancos. codigo de referencia 2230, Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se debe de verificar con la inmobiliaria. La publicación de la presente información no representa una oferta publica por lo que toda transacción debe de hacerse de forma personal de acuerdo a las practicas comerciales de la inmobiliaria y para poder ser valida requiere de la autorización expresa de los propietarios de los inmuebles.",/propiedades/jaime-balmes-departamento-en-venta-polanco-mc-58517601.html,"MN 15,000,000",venta,3.0,3.0,298.0,298.0,19.4311451,-99.1855612,Petrarca,408,Polanco I Sección,Ciudad de México,11560,"Petrarca 408, Chapultepec Morales, Polanco I Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico"
20,18,"Departamento a La Venta en Polanco, Juan Racine (Dg)","Departamento a la Venta en Polanco, Juan Racine (dn), Polanco, Miguel Hidalgo","Departamento a la venta en Polanco, Juan Racine (dg) Cuenta con 178 mts, sala, comedor, cocina, 2 recámaras con opción a 3 , 2 baños, cuarto de lavado y servicio con baño, mant. $4, 500 mn, 2 elevadores, 1 estacionamiento, zotehuela. codigo de referencia 2165, Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se debe de verificar con la inmobiliaria. La publicación de la presente información no representa una oferta publica por lo que toda transacción debe de hacerse de forma personal de acuerdo a las practicas comerciales de la inmobiliaria y para poder ser valida requiere de la autorización expresa de los propietarios de los inmuebles.",/propiedades/departamento-a-la-venta-en-polanco-juan-racine-dg-58474064.html,"MN 8,200,000",venta,2.0,2.0,178.0,178.0,19.4352809,-99.20855449999999,Avenida Horacio,1710,Polanco I Sección,Ciudad de México,11510,"Av. Horacio 1710, Polanco, Polanco I Secc, Miguel Hidalgo, 11510 Ciudad de México, CDMX, Mexico"
21,19,"Departamento en Venta, Priv. de Tamarindos, Bosques de Las Lomas (Js)","Departamento en Venta, Priv. de Tamarindos, Bosques de las Lomas (js), Bosques de las Lomas, Cuajimalpa de Morelos","Bosques de las Lomas, Privada de Tamarindos, departamento en venta (js) 305m, amplia sala y comedor, cocina, 3 recámaras, 3. 5 baños, family, mant. $9, 500 mn, bodega, cto de servicio y lavado, pisos de mármol color marfil placa grande, madera de ingenieria de 6"" terminada al aceite, 3 estacionamientos, 2 elevadores. Amenidades: gym, alberca techada y descubierta, spa, juegos infantiles, 2 canchas de paddle, 2 salones de fiestas, salón de jóvenes y de adultos. Codigo de referencia 2031, Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se debe de verificar con la inmobiliaria. La publicación de la presente información no representa una oferta publica por lo que toda transacción debe de hacerse de forma personal de acuerdo a las practicas comerciales de la inmobiliaria y para poder ser valida requiere de la autorización expresa de los propietarios de los inmuebles.",/propiedades/departamento-en-venta-priv.-de-tamarindos-bosques-de-58474002.html,"MN 16,000,000",venta,3.0,3.0,305.0,305.0,19.3855147,-99.2533303,Privada de Tamarindos,,Bosques de las Lomas,Ciudad de México,05110,"Privada de Tamarindos, Bosques de las Lomas, 05110 Ciudad de México, CDMX, Mexico"
22,20,Allende 314,"IGNACIO ALLENDE 314, San Joaquín, Miguel Hidalgo","Es un proyecto de 70 departamentos, en cuatro niveles. Diseño vanguardista con excelente ubicación A unos metros de escuelas, hospitales Y cercano A las principales vías de acceso. Cuenta con una ubicación estratégica para la población que labora en sus cercanías, esto debido A la alta concentración de oficinas en la zona de polanco, anzures, legaria, toreo Y el corredor de periférico norte. El desarrollo cuenta con 2 elevadores, escaleras de emergencia, salon de usos múltiples Y gimnasio. 2 vías de acceso al desarrollo, con seguridad las 24 hrs. Los departamentos están diseñados para mejor aprovechamiento de los espacios.",/propiedades/allende-314-56595179.html,"MN 2,100,000",venta,2.5,,79.0,101.5,19.455035,-99.2090856,Ignacio Allende,314,San Joaquín,Ciudad de México,11260,"Ignacio Allende 314, San Joaquín, Miguel Hidalgo, 11260 Ciudad de México, CDMX, Mexico"
